"","V1","V2"
"1",1,-0.302285635318915
"2",2,0.745954768377187
"3",3,0.884532236731422
"4",4,-0.466759063820919
"5",5,0.294204661413778
"6",6,0.8707538521841
"7",7,0.568368206615246
"8",8,0.912578145768268
"9",9,0.777698355211578
"10",10,0.898773631491184
"11",11,0.320552213815976
"12",12,0.833380660148762
"13",13,-0.31836985894918
"14",14,-0.466759063820919
"15",15,0.345589438175193
"16",16,0.375131042982384
"17",17,0.744823322349053
"18",18,-0.158261381316861
"19",19,0.884532236731422
"20",20,0.884532236731422
"21",21,-0.357613843517723
"22",22,0.630290888200556
"23",23,0.833380660148762
"24",24,0.884532236731422
"25",25,-0.304161048214591
"26",26,0.61381791482875
"27",27,0.912578145768268
"28",28,0.898773631491184
"29",29,0.884532236731422
"30",30,0.763960524686339
"31",31,0.554827961948532
"32",32,0.833380660148762
"33",33,0.884532236731422
"34",34,0.630290888200556
"35",35,-0.0852292881870962
"36",36,0.884532236731422
"37",37,0.764014808862758
"38",38,0.685461032051799
"39",39,0.842863610392092
"40",40,-0.48025092484729
"41",41,0.243717908044225
"42",42,0.240997703160799
"43",43,0.736161062993708
"44",44,0.570068313120463
"45",45,-0.630290888200569
"46",46,0.733391895776222
"47",47,0.884532236731422
"48",48,0.764014808862758
"49",49,0.699381601959986
"50",50,0.302319380853746
"51",51,0.733069663746365
"52",52,0.842863610392092
"53",53,0.302319380853746
"54",54,0.898773631491184
"55",55,0.258846684117033
"56",56,0.761187133511278
"57",57,0.3875162866946
"58",58,0.722508450113994
"59",59,0.912578145768268
"60",60,0.884532236731422
"61",61,0.694929469898552
"62",62,-0.284882031386798
"63",63,0.405229982409477
"64",64,0.884532236731422
"65",65,0.884532236731422
"66",66,0.397943868043973
"67",67,0.736161062993708
"68",68,0.630290888200556
"69",69,0.884532236731422
"70",70,0.694929469898552
"71",71,0.0511290870177286
"72",72,0.371057361665543
"73",73,0.764014808862758
"74",74,0.630290888200556
"75",75,0.898773631491184
"76",76,0.764014808862758
"77",77,0.432647774204274
"78",78,0.198791565434568
"79",79,-0.331801864273524
"80",80,0.884532236731422
"81",81,0.805474557052709
"82",82,0.912578145768268
"83",83,0.702874045203658
"84",84,0.884532236731422
"85",85,-0.0356500005626961
"86",86,0.664400911871499
"87",87,0.563710095190781
"88",88,0.58238970049138
"89",89,0.912578145768268
"90",90,0.376467798660316
"91",91,0.884532236731422
"92",92,0.568368206615246
"93",93,-0.466759063820919
"94",94,0.763960524686339
"95",95,0.569993935808793
"96",96,0.829124306913314
"97",97,0.733391895776222
"98",98,0.066342579168204
"99",99,0.630290888200556
"100",100,0.764014808862758
"101",101,0.764014808862758
"102",102,0.568368206615246
"103",103,0.912578145768268
"104",104,0.884532236731422
"105",105,-0.483807377599256
"106",106,0.814940655146585
"107",107,0.718181928752844
"108",108,0.912578145768268
"109",109,0.749890005742684
"110",110,0.123243421232013
"111",111,-0.466759063820919
"112",112,-0.480287340010426
"113",113,0.764014808862758
"114",114,-0.439315253019549
"115",115,-0.466759063820919
"116",116,0.682699562379216
"117",117,0.884532236731422
"118",118,0.898773631491184
"119",119,0.571885035377638
"120",120,0.718181928752844
"121",121,0.829124306913314
"122",122,0.259784318957676
"123",123,0.847123692019144
"124",124,0.884532236731422
"125",125,0.653557864417119
"126",126,-0.150462656880561
"127",127,0.344042895039365
"128",128,0.884532236731422
"129",129,0.408560300831812
"130",130,0.8707538521841
"131",131,0.708559958062687
"132",132,0.444614323186664
"133",133,0.749880570951348
"134",134,0.81919370744798
"135",135,-0.274438403000798
"136",136,0.259784318957676
"137",137,0.420793566845436
"138",138,0.216680065542288
"139",139,-0.450456717837935
"140",140,0.761187133511278
"141",141,0.569993935808793
"142",142,0.466795223861559
"143",143,0.703414075588983
"144",144,0.699154229812741
"145",145,0.884532236731422
"146",146,0.814940655146585
"147",147,0.829124306913314
"148",148,0.389395745782856
"149",149,0.912578145768268
"150",150,0.764014808862758
"151",151,0.652334365027427
"152",152,-0.321094189114129
"153",153,0.393385803867205
"154",154,0.0224811273850209
"155",155,0.0358609492145178
"156",156,0.719741431170415
"157",157,0.8707538521841
"158",158,0.589041233804336
"159",159,0.833380660148762
"160",160,0.898773631491184
"161",161,0.00622608447338382
"162",162,0.0945765644845149
"163",164,0.847123692019144
"164",165,-0.112485573817418
"165",166,-0.276833644843644
"166",167,0.884532236731422
"167",168,0.884532236731422
"168",169,-0.466759063820919
"169",170,-0.466759063820919
"170",171,0.69908518025327
"171",172,0.203530812475871
"172",173,-0.466759063820919
"173",174,-0.142820347154524
"174",175,0.750286710381625
"175",176,0.0358609492145178
"176",177,0.33524538600303
"177",178,-0.18030185345288
"178",179,-0.321094189114129
"179",180,0.847123692019144
"180",181,-0.466759063820919
"181",183,0.733069663746365
"182",184,-0.466759063820919
"183",185,0.0631107078147226
"184",186,0.884532236731422
"185",187,0.597645490130375
"186",189,0.731164558211001
"187",190,-0.466759063820919
"188",191,0.764014808862758
"189",192,0.230309952564163
"190",193,0.764014808862758
"191",197,0.213180275601021
"192",198,0.157117865391835
"193",201,-0.223396517966175
"194",202,0.884532236731422
"195",203,0.568058406653656
"196",206,0.0783805843424271
"197",207,0.0786289102648618
"198",208,-0.180595478810811
"199",242,-0.284882031386798
"200",243,0.00853987921421847
